bidder_id,company_type,udyam_valid,udyam_expired,gst_registered,gst_status_active,gst_returns_filed_pct,pan_valid,itr_filed_last_year,income_tax_defaulter,epfo_applicable,epfo_compliant,esic_applicable,esic_compliant,make_in_india_local_content_pct,make_in_india_required_threshold,startup_india_claimed,startup_india_verified,nsic_claimed,nsic_verified,oem_authorization_required,oem_authorization_provided,blacklisted_flag,debarment_active,documents_missing_count,name_mismatch_across_docs,document_authenticity_score,turnover_consistency_ratio,years_since_registration,past_disputes_count,compliance_score,risk_level
BID00040,Startup,1,0,1,1,92.3,1,1,0,0,1,0,1,100.0,50,0,0,0,0,1,1,0,0,2,0,75.5,0.93,20,0,93.3,Low
BID00041,MSME,0,1,1,1,100.0,1,1,0,1,1,1,1,91.7,50,1,1,1,1,1,1,0,0,1,1,93.1,1.24,20,0,81.4,Medium
BID00042,Startup,1,0,1,1,92.2,1,1,0,1,1,1,0,35.1,30,0,0,0,0,0,1,0,0,4,0,97.2,1.21,6,1,82.6,Medium
BID00043,MSME,1,0,1,1,82.0,1,1,0,0,1,0,1,55.5,50,1,1,0,0,0,1,0,0,1,0,82.0,0.76,10,0,91.7,Low
BID00044,OEM,1,0,1,1,77.1,1,0,0,0,1,0,1,73.8,30,0,0,0,0,0,1,0,0,0,0,96.7,1.26,16,0,93.0,Low
BID00045,MSME,1,0,1,1,100.0,1,1,0,1,1,1,0,74.6,20,0,0,0,0,1,1,0,0,0,0,100.0,0.64,24,0,93.6,Low
BID00046,Large Enterprise,1,0,1,1,63.7,1,1,0,1,1,1,1,66.1,30,0,0,0,0,0,1,0,0,1,0,89.0,1.3,17,0,86.1,Medium
BID00047,MSME,1,0,1,1,70.4,1,1,0,1,1,1,1,86.3,30,0,0,0,0,0,1,0,0,3,1,72.7,0.95,24,0,80.5,Medium
BID00048,Startup,1,0,1,1,79.0,1,1,0,1,1,1,0,51.9,20,0,0,1,1,0,1,0,0,5,0,94.4,0.89,8,0,78.5,Medium
BID00049,Startup,0,1,1,1,100.0,1,1,0,1,1,0,1,45.8,50,0,0,0,0,1,1,0,0,2,1,86.7,0.93,12,0,78.4,Medium
BID00050,MSME,1,0,0,0,90.7,1,1,0,1,1,0,1,46.3,20,1,0,0,0,1,0,0,0,1,0,81.1,1.09,14,0,78.4,Medium
BID00051,OEM,1,0,1,1,70.5,1,1,0,0,1,1,0,76.5,50,0,0,0,0,0,1,0,0,2,0,94.0,1.52,18,0,81.2,Medium
BID00052,Large Enterprise,1,1,1,1,80.3,1,1,1,0,1,1,0,64.1,50,0,0,0,0,1,1,0,0,3,0,99.5,1.3,14,0,68.6,High
BID00053,OEM,1,0,1,0,75.8,1,1,1,0,1,0,1,62.3,30,0,0,0,0,1,1,0,0,4,0,87.2,0.71,6,0,64.4,High
BID00054,NSIC Registered,1,0,1,1,74.4,1,1,0,0,1,0,1,74.9,20,0,0,1,1,0,1,0,0,2,0,57.7,0.74,2,0,81.4,Medium
BID00055,Large Enterprise,1,0,1,1,99.7,1,0,0,0,1,0,1,3.7,30,0,0,0,0,0,1,0,0,1,0,86.4,0.52,23,1,79.1,Medium
BID00056,OEM,1,0,1,1,64.4,1,1,0,1,1,0,1,62.8,20,0,0,0,0,0,1,0,0,0,0,87.7,1.08,7,0,93.4,Low
BID00057,MSME,1,0,1,1,100.0,1,0,0,0,1,1,1,60.5,20,0,0,0,0,1,1,0,0,1,0,100.0,0.96,12,0,94.1,Low
BID00058,MSME,1,0,1,1,97.4,1,1,0,0,1,1,1,96.7,30,1,1,0,0,0,1,0,0,3,0,86.6,1.16,15,0,85.3,Medium
BID00059,MSME,1,0,1,0,100.0,1,1,1,0,1,0,1,16.8,50,0,0,0,0,0,1,0,0,4,1,82.9,0.87,2,1,54.7,High
BID00060,MSME,1,0,1,1,78.1,1,1,0,1,0,0,1,93.9,50,0,0,0,0,0,1,0,0,1,0,93.3,0.9,20,0,87.6,Low
BID00061,MSME,1,1,1,1,82.8,1,1,0,0,1,1,0,56.9,20,0,0,0,0,1,0,0,0,2,0,81.4,0.64,22,0,76.3,Medium
BID00062,MSME,1,0,1,1,63.5,1,1,0,0,1,1,0,67.2,50,0,0,0,0,0,1,0,0,0,0,76.8,1.28,0,0,86.5,Medium
BID00063,NSIC Registered,1,0,1,1,77.1,1,1,0,0,1,1,0,96.9,30,0,0,0,0,0,1,0,0,0,0,65.9,0.85,2,0,92.1,Low
BID00064,MSME,1,0,1,1,92.4,1,1,0,1,1,0,1,69.0,30,0,0,1,1,0,1,0,0,1,0,77.9,0.79,15,0,91.1,Low
BID00065,MSME,1,0,1,1,100.0,1,1,0,0,1,1,1,65.0,30,0,0,0,0,0,1,0,0,2,0,62.1,1.24,0,0,82.4,Medium
BID00066,Startup,1,0,1,1,68.4,1,1,0,0,1,1,1,61.1,20,0,0,0,0,1,1,0,0,1,0,88.4,0.63,17,1,87.4,Low
BID00067,MSME,1,0,1,1,79.5,1,1,0,1,1,0,1,42.9,20,0,0,0,0,1,1,0,0,2,1,87.6,1.14,13,0,82.7,Medium
BID00068,NSIC Registered,1,0,1,1,82.7,1,1,0,0,1,1,1,54.3,50,0,0,0,0,1,1,0,0,0,0,93.4,0.81,6,0,93.3,Low
BID00069,MSME,1,0,1,1,64.1,1,1,0,1,0,1,1,37.1,30,0,0,1,0,0,1,0,0,0,0,72.6,0.97,22,1,79.5,Medium
BID00070,OEM,1,0,1,1,93.9,1,1,0,0,1,1,0,53.9,30,0,0,0,0,0,1,0,0,3,0,67.7,0.52,2,0,75.6,Medium
BID00071,Large Enterprise,1,0,1,1,74.1,1,0,0,0,1,1,1,0.0,20,0,0,0,0,0,1,0,0,2,0,100.0,1.14,21,0,82.1,Medium
BID00072,MSME,0,1,1,1,82.1,1,1,0,1,0,1,1,65.7,20,0,0,0,0,1,0,0,0,1,0,84.1,1.51,15,0,66.8,High
BID00073,MSME,1,1,1,1,78.2,1,1,0,1,1,0,1,52.0,20,1,1,0,0,0,1,0,0,2,0,93.4,0.68,5,0,90.6,Low
BID00074,NSIC Registered,1,0,1,1,73.2,1,1,0,0,1,0,1,46.6,30,0,0,0,0,1,1,0,0,0,0,86.6,1.29,17,0,92.6,Low
BID00075,Large Enterprise,1,0,1,0,84.9,1,1,0,1,1,1,1,60.5,30,0,0,0,0,0,1,0,0,4,0,93.9,0.99,24,0,83.6,Medium
BID00076,Large Enterprise,1,0,1,1,81.8,0,1,0,1,1,1,1,19.2,50,0,0,0,0,1,1,0,0,2,0,87.7,1.13,12,1,75.4,Medium
BID00077,Large Enterprise,1,0,1,1,79.4,1,1,0,0,1,0,1,100.0,30,0,0,0,0,0,1,0,0,0,0,75.4,0.7,23,0,90.7,Low
BID00078,MSME,0,1,1,1,74.1,1,1,1,1,1,1,1,52.4,50,0,0,0,0,0,1,0,0,2,0,91.5,0.74,1,0,71.0,Medium
BID00079,MSME,1,0,1,1,89.8,0,1,0,1,1,1,1,51.4,50,0,0,1,1,0,1,0,0,3,1,88.6,1.02,11,0,77.3,Medium
BID00080,MSME,1,0,1,1,100.0,1,1,0,0,1,0,1,30.9,30,0,0,0,0,0,1,0,0,1,0,64.8,0.95,3,0,89.1,Low
BID00081,NSIC Registered,1,0,1,1,87.1,1,1,0,1,1,1,0,55.6,50,0,0,0,0,1,1,0,0,3,0,88.5,1.04,8,0,82.5,Medium
BID00082,Large Enterprise,1,0,1,1,99.9,1,1,0,1,1,1,1,89.7,50,0,0,0,0,0,1,0,0,2,0,80.4,0.63,19,0,92.2,Low
BID00083,MSME,1,1,1,1,64.1,1,1,0,0,1,1,0,80.9,20,0,0,0,0,0,1,0,0,0,0,77.0,1.15,22,0,82.9,Medium
BID00084,MSME,1,0,1,1,87.4,1,0,0,0,1,1,1,76.4,30,1,1,0,0,0,1,0,0,0,0,96.7,1.1,4,0,93.0,Low
BID00085,MSME,1,0,1,1,68.5,1,1,0,0,1,1,1,68.7,50,0,0,1,1,1,1,0,0,2,0,84.1,1.28,9,0,86.3,Medium
BID00086,MSME,1,1,1,1,62.8,1,1,0,0,1,1,1,46.0,50,0,0,0,0,0,1,0,1,0,0,84.5,1.08,5,0,59.5,High
BID00087,Large Enterprise,1,0,1,1,73.9,1,1,0,0,1,1,1,18.7,50,0,0,0,0,1,1,0,0,1,0,86.1,1.56,0,0,81.1,Medium
BID00088,Large Enterprise,1,0,1,1,100.0,1,1,0,1,1,0,1,50.0,30,0,0,0,0,0,1,0,0,1,0,84.6,1.5,19,0,88.7,Low
BID00089,NSIC Registered,1,0,1,1,99.3,1,1,0,1,0,1,1,49.1,20,0,0,0,0,1,0,0,0,2,0,83.8,1.0,4,0,81.0,Medium
BID00090,Startup,1,0,1,0,88.6,1,1,0,1,0,1,0,81.2,20,1,1,0,0,0,1,0,0,0,0,100.0,0.99,5,0,83.3,Medium
BID00091,MSME,1,0,1,1,62.0,1,1,0,1,1,0,1,62.7,30,1,1,0,0,0,1,0,0,3,0,76.8,0.79,21,0,85.8,Medium
BID00092,Large Enterprise,1,0,1,1,82.1,1,1,0,0,1,0,1,95.3,30,0,0,0,0,1,1,0,0,3,1,64.2,0.66,20,1,65.1,High
BID00093,Large Enterprise,1,0,1,1,89.5,1,1,0,0,1,1,1,84.9,30,0,0,1,1,0,1,0,0,1,0,85.5,0.94,18,1,98.7,Low
BID00094,Large Enterprise,1,0,1,1,87.6,1,1,0,1,0,1,1,43.6,30,0,0,0,0,0,1,0,0,2,0,73.7,0.84,10,0,85.9,Medium
BID00095,Large Enterprise,1,0,1,1,57.3,1,1,0,0,1,1,1,10.1,20,0,0,0,0,1,0,0,0,3,0,71.8,0.8,14,0,75.3,Medium
BID00096,Startup,1,0,1,1,71.6,1,1,0,1,1,0,1,89.6,50,0,0,1,1,1,0,0,0,2,1,84.8,1.09,1,0,72.5,Medium
BID00097,Startup,1,0,0,0,84.0,1,1,0,1,1,1,1,89.0,50,1,1,0,0,0,1,0,0,1,0,88.3,0.61,14,0,87.7,Low
BID00098,Startup,1,0,1,1,93.0,1,1,0,0,1,1,1,20.8,30,0,0,0,0,0,1,0,0,0,0,82.9,0.7,6,0,92.8,Low
BID00099,MSME,1,1,1,1,52.1,0,1,0,1,1,1,1,92.7,30,0,0,0,0,0,1,0,0,2,0,79.5,0.51,16,0,70.9,Medium
BID00100,MSME,1,0,1,1,82.6,1,1,0,1,1,1,1,64.6,50,0,0,0,0,0,1,0,0,0,0,82.6,0.66,11,0,95.9,Low
BID00101,MSME,1,0,1,0,87.1,1,1,0,1,0,1,1,59.0,20,0,0,0,0,0,1,0,0,0,1,84.4,0.85,11,1,73.5,Medium
BID00102,Large Enterprise,0,1,1,1,97.7,1,0,0,1,1,1,1,95.4,30,0,0,0,0,1,0,0,0,2,0,85.0,1.2,4,0,72.3,Medium
BID00103,MSME,1,0,1,1,95.4,1,1,0,0,1,0,1,88.6,30,1,0,1,1,0,1,0,0,2,0,63.5,1.48,19,0,81.3,Medium
BID00104,Startup,1,1,1,1,93.7,1,1,0,0,1,0,1,71.3,20,0,0,0,0,0,1,0,0,1,0,95.5,0.57,6,1,85.4,Medium
BID00105,OEM,1,0,1,1,73.0,1,1,0,1,1,1,1,66.8,20,0,0,0,0,0,1,0,1,2,1,67.5,1.22,1,0,53.1,High
BID00106,MSME,0,1,1,1,56.4,1,1,0,1,1,1,1,70.4,20,0,0,0,0,0,1,0,0,1,0,76.9,0.76,12,0,76.8,Medium
BID00107,Startup,1,0,1,0,79.1,1,1,0,0,1,1,1,45.0,30,0,0,0,0,0,1,0,0,1,0,66.3,1.04,23,1,79.5,Medium
BID00108,Large Enterprise,1,0,1,1,100.0,1,1,0,0,1,1,1,53.6,20,0,0,0,0,1,1,1,0,2,0,87.0,1.14,8,1,63.0,High
BID00109,MSME,1,0,1,1,100.0,1,1,0,1,1,0,1,32.4,30,0,0,0,0,0,1,0,0,4,0,76.5,1.35,14,0,83.0,Medium
BID00110,MSME,1,0,0,0,95.7,1,1,0,1,1,0,1,46.7,30,1,1,0,0,0,1,0,0,0,0,82.8,1.6,14,1,82.8,Medium
BID00111,MSME,1,0,1,1,91.4,1,1,0,0,1,1,1,45.8,20,1,1,0,0,0,1,0,0,0,0,76.1,1.26,0,0,90.0,Low
BID00112,MSME,0,1,1,0,90.7,1,1,1,0,1,1,1,39.1,50,0,0,0,0,1,1,0,0,1,0,72.4,0.88,20,0,63.7,High
BID00113,OEM,1,0,1,1,76.7,1,1,0,1,0,1,1,58.4,20,0,0,0,0,0,1,0,0,1,0,54.9,0.62,19,1,78.1,Medium
BID00114,NSIC Registered,1,0,1,1,83.0,0,1,0,0,1,0,1,46.9,50,0,0,0,0,0,1,1,0,1,0,77.9,1.06,20,0,58.0,High
BID00115,Large Enterprise,1,0,0,0,100.0,1,0,0,1,1,0,1,67.6,20,1,0,0,0,1,1,1,0,1,0,70.5,1.16,24,0,45.5,High
BID00116,NSIC Registered,1,1,1,1,70.9,1,1,0,1,0,0,1,14.4,20,0,0,0,0,1,0,0,0,2,0,91.2,0.71,2,1,71.1,Medium
BID00117,NSIC Registered,1,0,1,1,100.0,1,1,0,1,1,0,1,52.2,30,0,0,1,1,0,1,0,0,4,0,100.0,1.19,0,0,85.4,Medium
BID00118,MSME,1,0,1,1,80.2,1,1,0,0,1,1,1,58.3,30,1,1,0,0,1,1,0,0,1,0,100.0,0.89,18,0,93.3,Low
BID00119,NSIC Registered,1,0,1,1,100.0,1,0,0,1,1,0,1,47.2,30,0,0,0,0,0,1,0,0,1,0,84.0,0.72,19,0,89.3,Low
BID00120,Startup,1,0,1,1,63.9,1,1,0,1,1,0,1,50.7,30,0,0,0,0,0,1,0,0,1,0,75.5,1.03,12,1,89.0,Low
BID00121,NSIC Registered,1,0,1,1,93.8,1,1,0,1,1,0,1,15.4,30,0,0,0,0,0,1,1,0,0,0,61.6,0.77,14,1,57.8,High
BID00122,NSIC Registered,1,0,1,1,73.9,1,1,0,0,1,1,1,63.9,30,0,0,1,1,0,1,0,0,3,0,80.0,0.71,12,0,83.5,Medium
BID00123,MSME,0,1,1,1,63.8,1,1,0,1,0,0,1,71.2,30,0,0,0,0,0,1,0,0,1,0,74.1,1.07,17,1,69.8,High
BID00124,MSME,1,0,1,1,88.3,1,1,0,1,1,0,1,67.3,50,0,0,0,0,0,1,0,0,1,0,76.2,1.1,16,0,89.2,Low
BID00125,MSME,0,1,1,1,100.0,1,1,0,1,1,0,1,81.0,50,1,0,0,0,0,1,0,0,4,0,65.4,0.91,0,1,66.5,High
BID00126,Startup,1,0,1,1,72.3,1,1,0,0,1,0,1,60.0,30,0,0,0,0,0,1,1,0,2,0,93.4,1.07,14,0,66.4,High
BID00127,NSIC Registered,1,0,1,0,62.5,1,0,0,1,1,0,1,67.0,50,1,1,0,0,0,1,0,0,0,0,91.1,1.29,23,1,73.4,Medium
BID00128,NSIC Registered,1,1,1,1,83.6,1,1,0,1,0,0,1,58.9,20,0,0,0,0,0,1,0,0,2,0,74.0,1.21,3,0,81.6,Medium
BID00129,MSME,1,0,1,1,83.7,1,1,0,1,1,0,1,72.2,50,0,0,0,0,0,1,0,0,0,0,95.3,0.79,1,0,93.6,Low
BID00130,Startup,1,1,1,1,93.2,1,1,1,0,1,0,1,15.6,30,1,1,0,0,0,1,0,0,0,0,85.7,1.01,18,0,86.2,Medium
BID00131,Startup,1,0,1,1,99.2,1,0,0,1,0,1,1,32.7,50,0,0,1,1,0,1,0,0,1,0,91.4,0.83,7,0,78.6,Medium
BID00132,MSME,1,0,0,0,84.1,1,1,0,0,1,1,1,94.7,20,0,0,0,0,0,1,0,0,0,0,94.3,0.65,21,0,93.1,Low
BID00133,MSME,1,0,1,1,100.0,1,1,0,0,1,1,1,0.0,50,0,0,0,0,0,1,0,0,0,0,89.4,1.16,15,0,88.1,Low
BID00134,MSME,0,1,1,1,88.4,1,1,0,0,1,0,1,51.5,30,0,0,0,0,0,1,0,0,0,0,75.2,1.25,7,1,84.3,Medium
BID00135,OEM,0,1,1,1,79.8,1,1,0,1,1,0,1,84.3,20,0,0,0,0,0,1,0,0,2,0,97.6,0.88,9,0,79.3,Medium
BID00136,MSME,1,0,1,1,60.8,1,1,0,0,1,0,1,52.7,20,0,0,0,0,1,1,0,0,0,0,94.3,1.06,15,1,93.5,Low
BID00137,Startup,1,0,1,1,81.1,1,1,0,1,1,1,1,44.9,50,0,0,0,0,0,1,0,0,2,0,94.4,1.39,4,0,86.1,Medium
BID00138,Large Enterprise,1,0,1,1,80.0,1,1,0,1,1,1,1,58.2,20,0,0,0,0,0,1,0,0,0,0,69.0,1.26,18,0,90.8,Low
BID00139,MSME,1,0,1,1,99.4,1,1,0,0,1,1,1,46.2,20,1,1,0,0,1,1,0,0,3,0,67.4,0.85,5,0,90.2,Low
BID00140,OEM,1,0,1,1,91.9,1,1,0,1,1,1,1,55.8,20,1,1,0,0,0,1,0,0,4,0,100.0,0.98,9,0,85.9,Medium
BID00141,OEM,1,0,1,1,67.3,1,1,0,1,1,0,1,37.9,30,0,0,0,0,1,1,0,0,1,0,77.3,0.82,23,0,89.5,Low
BID00142,MSME,1,0,1,1,87.6,1,1,0,1,1,1,1,82.7,20,0,0,0,0,0,1,0,0,3,0,88.0,1.06,4,0,84.9,Medium
BID00143,Startup,0,1,1,0,95.1,1,1,0,0,1,0,1,90.6,50,0,0,0,0,0,1,0,0,0,1,99.5,1.01,20,0,75.0,Medium
BID00144,MSME,1,0,1,1,100.0,1,1,0,1,1,0,1,51.7,50,0,0,0,0,1,0,0,0,0,0,100.0,0.71,18,2,86.1,Medium
BID00145,MSME,1,0,1,1,98.3,1,1,0,0,1,1,1,20.3,20,0,0,0,0,1,0,0,0,0,0,91.9,0.89,18,0,91.7,Low
BID00146,MSME,1,0,1,1,96.4,1,1,0,0,1,0,1,41.9,50,0,0,0,0,0,1,0,0,2,1,78.7,0.48,12,0,77.8,Medium
BID00147,Large Enterprise,1,0,1,1,85.9,1,1,0,0,1,1,1,50.4,20,0,0,0,0,1,1,0,0,3,0,81.6,0.74,14,0,83.9,Medium
BID00148,Startup,1,0,1,1,90.8,1,1,0,1,1,1,1,67.6,50,1,1,0,0,1,1,0,0,0,0,89.4,1.1,7,1,91.6,Low
BID00149,MSME,0,1,1,0,100.0,1,1,0,0,1,0,1,29.8,20,0,0,0,0,1,1,0,0,0,1,87.1,1.04,10,0,76.9,Medium
BID00150,MSME,1,0,1,1,65.0,1,1,0,1,1,0,1,35.8,20,0,0,0,0,1,1,0,0,2,0,76.4,1.24,0,1,80.3,Medium
BID00151,OEM,0,1,1,1,79.8,1,0,1,1,1,1,1,67.8,20,0,0,0,0,1,1,0,1,5,1,53.2,1.01,3,0,21.9,High
BID00152,MSME,1,0,1,1,73.4,1,1,0,1,1,1,1,78.5,30,0,0,0,0,0,1,0,0,0,0,76.2,0.95,24,0,92.1,Low
BID00153,MSME,1,0,1,1,90.7,1,1,0,1,1,1,1,39.5,50,0,0,0,0,0,1,0,0,1,1,82.4,1.46,21,1,75.3,Medium
BID00154,Startup,1,1,1,0,100.0,1,1,0,1,1,1,1,21.7,20,1,1,0,0,1,1,0,0,1,0,84.9,0.92,21,0,82.8,Medium
BID00155,OEM,1,0,1,1,76.0,1,0,1,1,1,0,1,100.0,30,0,0,1,1,1,0,1,0,1,0,100.0,0.9,12,0,50.4,High
BID00156,MSME,0,1,1,0,49.1,1,1,0,1,1,0,1,74.6,30,0,0,0,0,0,1,0,0,2,0,97.8,1.01,6,1,70.8,Medium
BID00157,Large Enterprise,0,1,1,1,78.8,1,1,0,1,1,1,1,48.3,20,1,1,1,1,1,1,0,0,0,0,79.5,0.81,6,0,82.3,Medium
BID00158,Large Enterprise,1,0,1,1,98.7,1,1,0,0,1,0,1,76.7,20,0,0,0,0,0,1,0,0,0,0,91.0,1.06,5,0,95.2,Low
BID00159,MSME,1,0,1,1,93.1,1,1,0,0,1,1,1,51.9,20,0,0,0,0,1,1,1,0,0,0,53.0,0.82,24,1,59.3,High
BID00160,Large Enterprise,1,0,1,1,91.4,1,1,1,0,1,1,1,76.7,20,0,0,0,0,1,1,0,0,1,0,99.7,0.89,7,0,88.0,Low
BID00161,MSME,0,1,1,1,80.8,1,1,0,1,1,0,1,59.0,20,1,1,0,0,1,1,0,0,1,0,79.0,0.81,11,0,77.1,Medium
BID00162,Large Enterprise,1,0,1,1,65.8,1,1,0,1,0,0,1,57.3,50,1,0,1,1,1,1,0,0,0,0,87.2,0.56,23,0,76.4,Medium
BID00163,Large Enterprise,1,0,1,1,92.7,1,1,0,0,1,0,1,52.2,20,0,0,0,0,0,1,0,0,2,0,85.4,0.4,17,0,88.6,Low
BID00164,Startup,1,0,1,1,72.5,1,1,0,1,1,0,1,18.8,20,0,0,0,0,1,1,0,0,1,0,97.3,0.64,22,0,91.4,Low
BID00165,MSME,1,0,1,1,100.0,1,1,0,0,1,0,1,100.0,50,0,0,0,0,0,1,0,0,1,0,80.8,1.29,14,1,87.0,Low
